# ne_cache v1 — ORACLE-PROVENANCE INPUT DATA (m4-pinning §P4/C3; RESEARCH-M §2 amendment).
# Conductor N(E) and root number ε(E) for the height-ordered family
#   {E_{A,B}: y²=x³+Ax+B, H(E)=max(4|A|³,27B²) ≤ X, reduced, nonsingular}.
# N, eps are OBTAINED FROM AN ORACLE (PARI/GP) — a live oracle supplying
# trusted INPUT, not refereeing our numbers; a_p stays COMPUTED (ap_charsum).
# Residual risk: a systematic oracle N/ε error propagates silently — certified
# against pinned ecdata by verify/m4/oracle_dual_overlap_NE (5676 classes exact).
# Generated by: `at ne-cache --X 262144 --out data/m5/ne_cache_x262144.txt`.
# Oracle: PARI/GP [2, 17, 4], ellglobalred(ellinit([0,0,0,A,B]))[1] (N), ellrootno (eps).
# provenance: oracle   (columns N, eps)
# format_version 1
# generator_hash 787e95ade733c99f38e72ccb7d38f049b7e02b59ddb673627c58d8bc346de521
# X 262144
# count 15936
# A B N eps
-38 88 16640 -1
-38 89 44968 -1
-38 90 12608 -1
-38 91 65584 -1
-38 92 72320 1
-38 93 112280 1
-38 94 305344 1
-38 95 386992 1
-38 96 234752 -1
-38 97 276440 1
-38 98 637120 1
-37 -98 907136 -1
-37 -97 822896 -1
-37 -96 369760 -1
-37 -95 164252 -1
-37 -94 575360 1
-37 -93 494576 -1
-37 -92 207328 1
-37 -91 16780 1
-37 -90 257408 -1
-37 -89 180080 1
-37 -88 51808 -1
-37 -87 7004 1
-37 -86 46720 -1
-37 -85 120592 -1
-37 -84 1760 -1
-37 -83 66436 1
-37 -82 337024 -1
-37 -81 407440 -1
-37 -80 238496 1
-37 -79 136420 1
-37 -78 613504 1
-37 -77 680464 1
-37 -76 373280 1
-37 -75 202948 1
-37 -74 876160 -1
-37 -73 939664 -1
-37 -72 501152 1
-37 -71 266020 -1
-37 -70 1124992 1
-37 -69 1185040 -1
-37 -68 622112 1
-37 -67 325636 -1
-37 -66 10880 1
-37 -65 1416592 -1
-37 -64 736160 1
-37 -63 381796 1
-37 -62 1581184 -1
-37 -61 1634320 1
-37 -60 44384 1
-37 -59 17380 1
-37 -58 1788544 -1
-37 -57 1838224 1
-37 -56 943520 -1
-37 -55 483748 1
-37 -54 1982080 -1
-37 -53 2028304 1
-37 -52 1036832 1
-37 -51 529540 -1
-37 -50 2161792 -1
-37 -49 2204560 -1
-37 -48 1123232 -1
-37 -47 571876 -1
-37 -46 2327680 -1
-37 -45 2366992 1
-37 -44 1202720 -1
-37 -43 610756 -1
-37 -42 2479744 -1
-37 -41 503120 -1
-37 -40 1275296 1
-37 -39 646180 -1
-37 -38 2617984 -1
-37 -37 240944 -1
-37 -36 78880 1
-37 -35 678148 -1
-37 -34 548480 -1
